,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
201,-0.004395603,-0.2418848,-0.30626372,0.0044559394,0.15141691,0.10175819,0.19909562,-0.20650339,-0.03850094,-0.19406508,0.19182257,0.097259656,0.12023347,-0.20172346,0.21101354,-0.10418203,0.035387784,0.19099143,-0.07323757,-0.013192141,-0.20889853,0.021556763,-0.05263593,-0.087299645,0.004745185,0.21328971,-0.1735994,-0.11780886,-0.5623243,-0.12586246,-0.10966071,-0.06923595
523,-0.0029952785,-0.2449019,-0.30548036,0.009653886,0.14941046,0.10086417,0.19932461,-0.20791039,-0.03484853,-0.19055866,0.1949031,0.09631087,0.11493063,-0.20306729,0.21131496,-0.10481671,0.039960712,0.18998833,-0.07373261,-0.0121472925,-0.21213503,0.02580896,-0.04940521,-0.087429,0.0014668513,0.21447198,-0.17351994,-0.11820273,-0.5592343,-0.12951677,-0.11174015,-0.0718269
252,-0.010454569,-0.2379306,-0.30566713,-0.0016783521,0.15475133,0.10368666,0.1982343,-0.20661424,-0.046143617,-0.1922282,0.18900727,0.09890106,0.12284059,-0.20233154,0.20898162,-0.102742955,0.029350001,0.19181903,-0.07065242,-0.01964211,-0.2072156,0.017895987,-0.057429034,-0.08752475,0.009497492,0.20848957,-0.1717831,-0.11855232,-0.56771797,-0.12833215,-0.10445959,-0.06525587
540,-0.0010056435,-0.24093142,-0.31214473,0.011227176,0.14863506,0.10157141,0.19749008,-0.2071161,-0.040637948,-0.19648993,0.19289804,0.09870501,0.11869814,-0.20002943,0.20548368,-0.10613781,0.0415042,0.1903033,-0.07172787,-0.008907361,-0.20877379,0.023544358,-0.04956671,-0.08476585,0.0048586973,0.21741006,-0.17542239,-0.11522758,-0.5605196,-0.1257518,-0.11223964,-0.0663373
309,-0.002037018,-0.23572467,-0.31897378,0.014697038,0.15546419,0.10893411,0.19448666,-0.20235355,-0.049646195,-0.1950978,0.1943526,0.100898676,0.12863669,-0.19828725,0.20379052,-0.09791402,0.03885639,0.18961632,-0.070894144,-0.018851286,-0.20629619,0.022029128,-0.0559338,-0.07926752,0.0075352793,0.21707545,-0.16683921,-0.11244986,-0.56377447,-0.12430958,-0.107239425,-0.06665521
556,-0.0059208483,-0.24009502,-0.30889782,0.0041443044,0.15393317,0.104972824,0.19831523,-0.20476674,-0.043733895,-0.19363397,0.19330649,0.099282384,0.12169031,-0.20046015,0.21055797,-0.10225397,0.034171883,0.1883643,-0.07016251,-0.018520873,-0.20605765,0.020921204,-0.055997554,-0.0864605,0.007323674,0.213568,-0.17246272,-0.1170341,-0.56430286,-0.12401284,-0.10740345,-0.06793955
148,-0.006650815,-0.23487322,-0.31391487,0.0042486545,0.15714222,0.10665346,0.19635676,-0.2028329,-0.05325527,-0.19349052,0.19117217,0.10079196,0.12736827,-0.19950773,0.20681386,-0.10018238,0.032685716,0.18806067,-0.068366036,-0.023714807,-0.20275809,0.018230712,-0.060082085,-0.08455073,0.013246128,0.21350537,-0.17050268,-0.11590406,-0.5677484,-0.12351045,-0.10381463,-0.06434302
607,0.0075627365,-0.2386332,-0.31384668,0.019789374,0.15194738,0.10498602,0.19918948,-0.20175378,-0.043378025,-0.19177791,0.19582197,0.09777381,0.11834945,-0.20119224,0.20988299,-0.10050525,0.046681218,0.18421087,-0.074239016,-0.017536337,-0.20544794,0.02866775,-0.051377393,-0.08350784,0.0019686916,0.22103368,-0.17010397,-0.11278328,-0.56194067,-0.12489747,-0.11085623,-0.07519622
580,0.00720195,-0.2379381,-0.3138435,0.02096634,0.15010148,0.10545463,0.19676864,-0.20265868,-0.040946245,-0.19389088,0.19538565,0.097355634,0.11938122,-0.20050319,0.20761096,-0.10083761,0.04673541,0.18776698,-0.07567592,-0.015481268,-0.20827399,0.027880179,-0.048595898,-0.0816859,-0.0001854715,0.22062999,-0.16972223,-0.11264823,-0.5617808,-0.12677495,-0.111705296,-0.073427156
345,0.011682201,-0.23895866,-0.3145592,0.026081873,0.14810821,0.103008285,0.19892032,-0.2037685,-0.039495673,-0.1925306,0.19623688,0.09732059,0.11542737,-0.20043707,0.20834342,-0.10318729,0.053006925,0.18556446,-0.07681536,-0.011881297,-0.2065628,0.030396467,-0.045851424,-0.08172264,-0.0012593634,0.22312875,-0.17178705,-0.11072533,-0.55917597,-0.1279618,-0.114556044,-0.07709027
58,0.0110128885,-0.2505549,-0.25812295,0.0015117405,0.13261707,0.07328019,0.21208458,-0.22080766,-0.0035890713,-0.18228567,0.18592657,0.07342985,0.08145476,-0.21552336,0.23157856,-0.12676913,0.048121665,0.19843338,-0.09978904,0.007702895,-0.23140804,0.04045149,-0.022864008,-0.10996793,-0.014155547,0.20401362,-0.1888808,-0.13500264,-0.542077,-0.1533073,-0.1326185,-0.08729337
751,0.004097378,-0.2392339,-0.3091696,0.013665539,0.15133858,0.10056242,0.20062369,-0.20498931,-0.042411614,-0.1927732,0.19299372,0.096024334,0.11780547,-0.20180027,0.20964162,-0.10367862,0.043206945,0.18722804,-0.075308464,-0.01427404,-0.20696212,0.025149954,-0.05219377,-0.08607483,0.0039192624,0.21836491,-0.17179614,-0.11452795,-0.56259686,-0.12774563,-0.110161886,-0.07258846
423,0.0011691947,-0.2381589,-0.31212312,0.012968192,0.15232252,0.104374304,0.19855472,-0.20466535,-0.0452331,-0.19339871,0.1929472,0.098409496,0.12079981,-0.20077406,0.20862702,-0.1019205,0.041191526,0.18678384,-0.07218248,-0.017242411,-0.20482463,0.023263993,-0.05471074,-0.084546424,0.005070995,0.21767877,-0.17139933,-0.11364782,-0.56450015,-0.12509182,-0.10698629,-0.07012819
525,-0.0054021836,-0.23940453,-0.30972567,0.006076283,0.15416719,0.10554819,0.19761407,-0.20401391,-0.04288611,-0.19351405,0.19318281,0.099409,0.12433057,-0.20111735,0.20977817,-0.10036759,0.034961645,0.19053626,-0.07238355,-0.018325865,-0.20701864,0.020643331,-0.054737367,-0.084187865,0.0064974325,0.21317045,-0.1700361,-0.11630271,-0.563785,-0.12586713,-0.10828722,-0.069426544
