	PCA_1	PCA_2	UMAP_1	UMAP_2	tSNE_1	tSNE_2
TCGA-55-A4DG-01	-0.7761100960723541	2.066272035878524	11.061984	5.3978715	11.757191	-1.811314
TCGA-55-A57B-01	-1.185929494992091	-3.838733747684058	13.155503	4.789348	2.592846	9.482518
TCGA-62-8394-01	-2.3562260968307904	-4.484414467508635	14.807799	5.358655	-2.5352347	15.580497
TCGA-62-8395-01	3.497390021880862	-2.538408574126786	14.918694	8.252859	-11.032226	-10.121074
TCGA-62-8397-01	-1.2975083272306716	-2.4236614225476605	17.467854	5.7953577	-18.751707	6.3668013
TCGA-62-8398-01	-1.3800353913524532	-1.7059412582313127	17.413582	5.8289604	-19.343828	5.764425
TCGA-62-8399-01	2.507044912175797	-3.8894477388257895	17.498251	6.8356285	-19.029415	-1.8820654
TCGA-62-8402-01	-2.0802228229565705	-0.1104410994722782	16.837542	4.048557	-16.644283	12.539358
TCGA-62-A46O-01	-2.750000737916218	-0.5188616798104291	16.255613	4.6127048	-11.107729	11.628276
TCGA-62-A46P-01	1.3224051026589945	-1.872284222272733	17.598179	6.490305	-21.40899	2.7236488
TCGA-62-A46R-01	-2.092715610763425	-2.7179826021932696	16.700653	5.3182116	-11.321402	8.654294
TCGA-62-A46S-01	1.220219571570029	-3.039475967064046	15.820341	7.01133	-13.516979	-4.017027
TCGA-62-A46U-01	1.329129773144165	0.3136794897028914	15.939707	8.03095	-5.9424706	-3.6839602
TCGA-62-A46V-01	3.5708621717070343	-2.8775974619198963	14.893701	8.424213	-10.914662	-10.710939
TCGA-62-A46Y-01	3.158916372762673	-2.5309654564976207	14.655257	9.618278	-12.440098	-15.146329
TCGA-62-A470-01	0.6825749120643494	-0.7222930459172066	16.259542	6.819643	-8.837048	0.69349766
TCGA-62-A471-01	-2.75286199220281	-1.894072939183571	17.289047	5.169858	-17.500414	8.555105
TCGA-62-A472-01	-2.413762985051156	-2.2720588802120445	15.867817	5.751954	-7.851721	6.239194
TCGA-64-1676-01	1.3526588952902334	0.4377995299417793	16.098358	7.8653474	-7.608436	-2.9019513
TCGA-64-1677-01	-4.270515172187573	-3.6096195517502356	14.638447	5.190403	-1.9439781	18.913513
TCGA-64-1678-01	0.3415479310982576	-2.7044023081740503	17.02207	7.0860114	-14.065003	-0.48233455
TCGA-64-1679-01	-2.9828387787705166	-1.2900151020377857	16.987808	4.7875614	-14.31513	9.471524
