Sample ID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
TCGA-50-5946-01,6.8843594,14.615122,-9.26341,16.103252,3.081356,-9.261111,-4.8606143,13.362541,7.94461,7.6405916,1.4006013,12.222503,8.358205,3.8602772,10.763407,2.249649
TCGA-05-4244-01,5.7576914,14.819002,-9.5873375,16.439945,2.9839609,-9.355506,-5.283519,13.678675,7.308572,7.853233,0.79104483,12.181717,9.275892,3.2004685,10.029692,1.8517481
TCGA-55-7281-01,6.0071654,14.190199,-9.305314,15.2304735,3.8513322,-9.93995,-4.819036,13.897351,7.8401327,8.582136,1.0241102,12.20615,9.677084,3.5947814,9.601461,2.010174
TCGA-73-4659-01,5.876304,14.473771,-9.454223,16.0782,3.4813728,-9.63799,-4.893965,13.833241,7.697752,7.708379,1.2581611,12.2967005,8.8562155,3.3049169,10.112767,2.3782043
TCGA-NJ-A7XG-01,6.067397,14.509664,-9.652745,16.194693,3.2372904,-10.066499,-5.1698093,14.238504,7.713595,7.912099,1.1272296,11.83489,9.038367,3.8905263,10.192241,2.2148342
TCGA-44-5644-01,6.5984187,14.296588,-9.053827,15.023286,3.6048322,-9.563519,-4.231075,13.61283,8.041183,8.107545,1.377489,12.111135,8.774461,4.104561,10.022205,2.3277051
TCGA-49-6745-01,6.166108,14.912656,-9.773326,16.532993,2.9529674,-10.159656,-5.976832,14.411632,7.423322,8.585412,0.27555144,11.693607,9.405185,3.536085,10.618674,1.6297454
TCGA-64-1680-01,5.91916,14.990943,-9.878099,16.807726,2.8726995,-9.654037,-5.865079,14.126687,7.1946745,7.9894047,0.52556425,11.547798,9.438607,3.3195407,10.233047,1.7664831
TCGA-17-Z004-01,5.243175,15.038625,-9.707085,16.254705,2.7563207,-9.433991,-5.0835295,13.901456,7.2072263,7.984187,0.3097026,12.344178,9.62797,3.115269,9.225879,1.668172
TCGA-86-8056-01,6.3885393,14.254085,-9.885056,15.9118185,3.645811,-10.3356695,-5.9657764,14.680991,7.870332,8.959486,0.76315445,11.3974085,9.982821,3.6914604,10.196236,1.4813519
TCGA-44-2665-01,6.144371,14.650265,-9.601393,15.8217125,3.2999573,-10.256927,-5.393672,14.69493,7.5612764,8.633531,0.6562834,11.570343,9.447624,3.7715852,10.342353,1.8412496
TCGA-91-6840-01,6.4440494,14.120738,-8.9565,14.899382,3.9342895,-9.635174,-4.510585,13.653252,8.110612,8.37072,1.2835828,12.100765,9.297928,3.7504349,9.80782,2.2131402
TCGA-53-A4EZ-01,6.71885,14.36919,-9.167837,15.725695,3.3482225,-9.469377,-4.6012263,13.349473,8.075323,7.7331247,1.495686,12.237357,8.669766,4.032519,10.252447,2.2939177
TCGA-78-7152-01,6.259966,14.816134,-10.05455,16.81405,2.9855742,-9.642401,-6.031837,14.416372,7.4250855,7.979206,0.88360906,11.285858,9.307813,3.4347012,10.594511,1.813608
TCGA-55-A48X-01,6.0431952,14.516365,-9.436652,15.669688,3.3432515,-9.751858,-5.0580335,13.965831,7.6094823,8.455486,0.80428684,12.105168,9.512724,3.5033236,9.974011,1.7985483
TCGA-55-8511-01,6.3543763,14.188467,-9.005019,15.151919,3.675502,-9.4719305,-4.6375475,13.473048,8.035351,8.289714,1.1509746,12.28218,9.266943,3.593793,9.94492,2.0455928
TCGA-55-8206-01,6.159469,14.21725,-9.243064,15.188991,3.8491592,-9.909132,-4.7804427,13.833562,7.857667,8.55566,1.0563363,12.147379,9.640791,3.7268102,9.664847,2.0699275
TCGA-49-4507-01,6.3885107,14.848969,-9.264416,16.328226,2.801326,-9.752348,-4.854202,13.649101,7.6293945,7.719976,0.8906888,12.212183,8.420683,3.959917,10.66195,2.2772486
TCGA-05-4410-01,6.7715797,14.422883,-9.4851265,16.379692,3.284627,-8.948087,-5.4143615,13.540527,7.9838533,7.5078273,1.5810628,11.791562,8.76763,3.5075033,10.690353,2.0280504
TCGA-49-AAR4-01,6.2781997,14.813916,-9.723471,16.617239,3.0363553,-10.009548,-5.860964,14.359205,7.502395,8.318805,0.5341784,11.649212,9.131268,3.546202,10.792237,1.8052328
TCGA-38-6178-01,6.25756,14.505712,-9.176604,15.4543,3.2020414,-9.594062,-4.401618,13.364089,7.751154,8.228233,0.86466926,12.4912,8.954337,3.9559717,9.983945,2.0033453
TCGA-97-8177-01,6.1269445,14.373613,-9.809902,15.875415,3.8031518,-10.034388,-5.6171956,14.400236,7.649301,8.659968,0.8985213,11.342565,9.992933,3.6562505,9.741407,1.7908903
TCGA-17-Z001-01,5.253966,15.01405,-9.682501,16.030247,2.9430413,-9.4084635,-4.930714,13.759132,7.2099123,8.074897,0.39758554,12.408483,9.533625,3.1299558,9.174374,1.7069616
TCGA-MP-A4TK-01,6.18234,14.814917,-9.154526,16.248953,2.882414,-9.172898,-4.8345895,13.35224,7.516834,7.7286873,0.81117576,12.383225,8.469672,3.4069843,10.61033,1.9718244
TCGA-78-7158-01,6.1172314,14.766695,-10.069038,16.8391,3.0802498,-9.71723,-6.1688404,14.480988,7.3780127,8.088472,0.7634694,11.237861,9.533415,3.3220394,10.497126,1.719047
TCGA-MP-A4T6-01,5.97169,14.718152,-9.1382065,16.270037,3.1463776,-9.404517,-5.1891713,13.475381,7.5064006,7.9866705,0.5950207,12.327317,8.930357,3.179792,10.480612,1.9343687
