Sample ID,dim_0,dim_1
TCGA-86-8673-01,16.464252,2.801193
TCGA-86-8674-01,17.815887,6.2074623
TCGA-86-A456-01,17.408377,4.013273
TCGA-86-A4D0-01,17.167858,3.759697
TCGA-86-A4JF-01,17.174757,2.934889
TCGA-86-A4P7-01,17.76625,6.069476
TCGA-86-A4P8-01,17.29592,6.3986106
TCGA-91-6828-01,15.421821,3.4000828
TCGA-91-6829-01,19.414356,2.927147
TCGA-91-6830-01,19.641779,5.269229
TCGA-91-6831-01,19.558924,3.0668693
TCGA-91-6835-01,18.361391,4.932284
TCGA-91-6836-01,18.451796,2.654431
TCGA-91-6840-01,15.497795,3.6562
TCGA-91-6847-01,19.598389,2.478175
TCGA-91-6848-01,19.117586,4.355694
TCGA-91-6849-01,19.737307,5.031593
TCGA-91-7771-01,16.147776,2.73156
TCGA-91-8496-01,17.3425,6.4616327
TCGA-91-8497-01,16.265831,5.9484286
TCGA-91-8499-01,15.7476015,4.1618595
TCGA-91-A4BC-01,15.886991,2.9041088
TCGA-91-A4BD-01,16.986467,5.3186946
TCGA-93-7347-01,16.699753,5.4189377
TCGA-93-7348-01,16.654533,4.6957374
TCGA-93-8067-01,17.679436,4.378519
TCGA-93-A4JN-01,16.43625,3.4251258
TCGA-93-A4JO-01,16.701876,5.559037
TCGA-93-A4JP-01,17.581167,6.4699545
TCGA-93-A4JQ-01,15.6166,3.1713212
TCGA-95-7039-01,16.005705,3.5438128
TCGA-95-7043-01,16.294485,4.371198
TCGA-95-7562-01,15.75684,3.0062203
TCGA-95-7567-01,16.9003,3.905137
TCGA-95-7944-01,16.464884,4.643116
TCGA-95-7947-01,17.253551,5.329342
TCGA-95-7948-01,17.463478,4.760975
TCGA-95-8039-01,16.85135,5.961494
TCGA-95-8494-01,16.786228,2.4812438
TCGA-95-A4VK-01,17.26919,5.8295054
TCGA-95-A4VN-01,17.284105,3.0448658
TCGA-95-A4VP-01,17.286327,3.0375478
TCGA-97-7546-01,16.423128,6.0892544
TCGA-97-7547-01,19.838236,4.0130744
TCGA-97-7552-01,20.8344,4.210665
TCGA-97-7553-01,18.459385,4.8759303
TCGA-97-7554-01,18.198057,3.4509363
TCGA-97-7937-01,16.46648,3.2886887
TCGA-97-7938-01,16.511436,5.4681997
TCGA-97-7941-01,16.740767,5.9297585
TCGA-97-8171-01,17.675053,6.537512
TCGA-97-8172-01,17.06521,5.3544455
TCGA-97-8174-01,16.58568,3.7007883
TCGA-97-8175-01,17.529863,5.84393
TCGA-97-8176-01,17.485397,6.267134
TCGA-97-8177-01,16.644817,3.572557
TCGA-97-8179-01,16.515009,3.4383812
TCGA-97-8547-01,16.907207,5.499115
TCGA-97-8552-01,16.555273,3.550987
TCGA-97-A4LX-01,17.142313,4.8949084
TCGA-97-A4M0-01,16.959517,4.6574187
TCGA-97-A4M1-01,16.511755,3.5016956
TCGA-97-A4M2-01,17.338161,6.1582584
TCGA-97-A4M3-01,17.217396,5.696995
TCGA-97-A4M5-01,17.107353,5.6807575
TCGA-97-A4M6-01,17.211576,5.6066566
TCGA-97-A4M7-01,17.16417,5.2562466
TCGA-99-7458-01,18.1346,3.948134
TCGA-99-8025-01,18.301792,3.4545403
TCGA-99-8028-01,18.378601,4.216911
TCGA-99-8032-01,17.313128,3.6490364
TCGA-99-8033-01,16.757282,2.591091
TCGA-99-AA5R-01,17.35816,6.1967754
TCGA-J2-8192-01,16.377506,3.9704616
TCGA-J2-8194-01,16.801456,5.6844773
TCGA-J2-A4AD-01,16.09188,4.9235573
TCGA-J2-A4AE-01,16.383781,5.2249756
TCGA-J2-A4AG-01,16.322659,5.920947
TCGA-L4-A4E5-01,18.406265,2.9041154
TCGA-L4-A4E6-01,18.223831,2.8824387
TCGA-L9-A443-01,15.468328,3.2104073
TCGA-L9-A444-01,15.5162325,3.1364896
TCGA-L9-A50W-01,16.765827,6.0260587
TCGA-L9-A5IP-01,16.259039,2.789913
TCGA-L9-A743-01,17.07545,2.374687
TCGA-L9-A7SV-01,16.887651,2.4273593
TCGA-L9-A8F4-01,16.308681,2.920579
TCGA-MN-A4N1-01,17.940632,2.2764184
TCGA-MN-A4N4-01,18.150051,2.393533
TCGA-MN-A4N5-01,18.205713,2.5759647
TCGA-MP-A4SV-01,19.013351,3.1484215
TCGA-MP-A4SW-01,20.571737,4.5201807
TCGA-MP-A4SY-01,20.066525,4.0375233
TCGA-MP-A4T2-01,19.851234,3.4507272
TCGA-MP-A4T4-01,20.248535,3.997702
TCGA-MP-A4T6-01,19.769396,4.008097
TCGA-MP-A4T7-01,20.492327,3.7105074
TCGA-MP-A4T8-01,19.89955,4.2323933
TCGA-MP-A4T9-01,20.026604,4.8497934
TCGA-MP-A4TA-01,18.802368,3.0427108
TCGA-MP-A4TC-01,19.22053,4.738982
TCGA-MP-A4TD-01,20.014824,4.163469
TCGA-MP-A4TE-01,19.286476,3.3598185
TCGA-MP-A4TF-01,19.067524,2.2011015
TCGA-MP-A4TH-01,17.196926,5.387215
TCGA-MP-A4TI-01,19.825005,5.4615264
TCGA-MP-A4TJ-01,18.759504,3.005177
TCGA-MP-A4TK-01,20.70054,3.3889697
TCGA-MP-A5C7-01,18.784674,5.0142
TCGA-NJ-A4YF-01,18.752026,2.4933367
TCGA-NJ-A4YG-01,19.529797,4.5336475
TCGA-NJ-A4YI-01,19.340431,3.2838984
TCGA-NJ-A4YP-01,17.892859,5.872248
TCGA-NJ-A4YQ-01,17.46642,3.3198726
TCGA-NJ-A55A-01,18.334888,5.9099574
TCGA-NJ-A55O-01,17.402042,3.4675477
TCGA-NJ-A55R-01,17.559729,3.1995583
TCGA-NJ-A7XG-01,18.501953,3.960012
TCGA-O1-A52J-01,19.720997,2.3503008
TCGA-S2-AA1A-01,17.502697,5.320069
