Sample ID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
TCGA-17-Z026-01,-5.9902987,1.4055434,5.8340335,7.320407,4.5804834,9.566844,-1.5145242,6.8203287,4.972553,5.553198,7.9755177,2.5192986,4.9339676,2.9374757,3.2949686,5.0922313,1.9770846,7.213248,6.653501,3.1681168,5.784945,4.312849,1.9698906,6.311314,8.38874,5.8301764,3.7584536,4.8158255,7.993128,3.0995352,6.316223,5.388776
TCGA-17-Z027-01,-5.9099154,1.3699219,5.800254,7.372161,4.5416217,9.561516,-1.5378875,6.7917433,5.001586,5.526324,7.9029016,2.5556953,4.9759593,2.8843935,3.2415702,5.1154056,2.0244195,7.2792315,6.679922,3.147199,5.849455,4.2736425,1.9735681,6.3967953,8.399352,5.80833,3.7809064,4.8427176,7.944504,3.1277788,6.41448,5.420511
TCGA-17-Z028-01,-5.9986606,1.3345432,5.710312,7.318972,4.5369735,9.646604,-1.5359006,6.833547,5.0063834,5.463567,7.991257,2.4875734,5.072961,2.8751764,3.2812135,5.160892,1.9654698,7.2317967,6.6413174,3.2044406,5.8391275,4.3126583,2.0706303,6.3504376,8.421221,5.8055334,3.7926168,4.75837,7.9851737,3.1615608,6.432648,5.464002
TCGA-17-Z030-01,-5.9688015,1.4137766,5.754235,7.33404,4.5486693,9.432231,-1.5382831,6.7674646,5.0139174,5.5662117,7.9619164,2.4940355,4.9438167,2.9084172,3.3179631,5.1714873,2.0788977,7.255883,6.6409473,3.2484,5.8792834,4.308038,1.9539545,6.314916,8.395224,5.7760057,3.923792,4.7777343,7.9089355,3.1182716,6.4226146,5.455194
TCGA-17-Z031-01,-5.90817,1.3810344,5.824839,7.4314866,4.596794,9.586818,-1.5085138,6.8291917,4.9721794,5.507098,7.959985,2.5338576,4.977876,2.8828306,3.2989357,5.1433253,2.021756,7.243378,6.669144,3.1606634,5.851462,4.2574778,2.043924,6.3625226,8.388007,5.8123803,3.718213,4.723258,8.008175,3.0927966,6.4467416,5.50847
TCGA-17-Z032-01,-5.9440928,1.3746847,5.7321005,7.3386483,4.50168,9.563604,-1.5589433,6.8320947,5.048562,5.560174,7.9479365,2.5088933,5.0292754,2.8398683,3.2544634,5.063418,2.0648267,7.2975483,6.636548,3.1173255,5.8702497,4.393032,2.0080779,6.4501743,8.467743,5.911148,3.765872,4.7629156,7.98652,3.1428647,6.431755,5.4223275
TCGA-17-Z033-01,-5.9034796,1.3429208,5.7699275,7.338088,4.51854,9.565147,-1.5388187,6.8286295,4.9594555,5.5110974,7.8794656,2.5728092,5.0650897,2.8582134,3.2874649,5.1336207,2.0271494,7.311814,6.6403565,3.1714163,5.85467,4.3317027,2.0405111,6.4370155,8.394481,5.7807293,3.7702994,4.768739,7.924535,3.0498016,6.493019,5.4453697
TCGA-17-Z036-01,-5.9378295,1.3852164,5.821501,7.3909607,4.611724,9.479736,-1.4931536,6.788126,4.934566,5.629083,7.8918576,2.5896068,4.989096,2.9303815,3.2775466,5.1740737,1.9809957,7.2428412,6.58721,3.1367984,5.802813,4.333401,1.9828396,6.3461437,8.444383,5.8177085,3.798331,4.7654724,7.897707,3.0366914,6.420672,5.4244947
TCGA-17-Z037-01,-5.9760427,1.3338737,5.7248187,7.385204,4.5843763,9.617039,-1.5584173,6.814683,4.968979,5.4176736,7.980427,2.5734253,5.0346456,2.8799217,3.274972,5.1742268,1.9121671,7.2430096,6.6686015,3.238342,5.820824,4.1838493,2.077707,6.3281083,8.2821245,5.676822,3.8315632,4.8701167,7.9309926,3.0783732,6.391895,5.380845
TCGA-17-Z041-01,-6.019351,1.3844359,5.8033752,7.3639855,4.616659,9.555526,-1.4809711,6.7997603,5.011765,5.563083,8.068802,2.4137425,5.0399384,2.9376597,3.3694673,5.1825094,2.0177143,7.193959,6.623531,3.3053746,5.82757,4.286927,2.0305655,6.290412,8.38871,5.736368,3.8861554,4.706873,7.992105,3.0992293,6.3989053,5.5231614
TCGA-17-Z042-01,-5.9055147,1.4331412,5.788141,7.2670026,4.533083,9.437168,-1.5342451,6.826265,4.851796,5.468391,7.9193335,2.5952504,4.9258313,2.8964655,3.3855128,5.1532054,2.0109587,7.2377167,6.7017083,3.0943966,5.7674227,4.347284,2.0364192,6.2572694,8.393478,5.8885946,3.685939,4.899917,7.9331675,3.0639126,6.394906,5.392458
TCGA-17-Z043-01,-5.9517465,1.3764673,5.838104,7.293657,4.556989,9.510762,-1.5315506,6.813942,4.9663982,5.5598702,7.903785,2.597397,4.978876,2.90782,3.2234921,5.1173944,1.9516361,7.2585673,6.636543,3.166278,5.7910676,4.3321753,2.0244362,6.3753543,8.384641,5.775601,3.8107772,4.8360915,7.9041038,3.062247,6.439368,5.3648567
TCGA-17-Z044-01,-5.9373946,1.3589631,5.801129,7.3862276,4.58162,9.585041,-1.5199748,6.8115,4.9838524,5.5096655,7.96953,2.5233681,5.0708776,2.8748567,3.3479462,5.1494384,1.9956309,7.27027,6.578842,3.2447202,5.8541946,4.254464,1.9898545,6.4151006,8.38688,5.781654,3.8070793,4.773303,7.8974233,3.0572548,6.410313,5.4184647
TCGA-17-Z045-01,-5.9005446,1.4026543,5.7227225,7.435408,4.5297613,9.513841,-1.5890813,6.8179054,4.9412856,5.4100947,7.9554996,2.5645163,5.0597258,2.801655,3.3881047,5.1910405,2.046118,7.29877,6.6052613,3.218103,5.8965254,4.2263966,2.0333886,6.371752,8.320172,5.798723,3.7931628,4.730986,7.941027,3.0543797,6.505552,5.4518547
