,run,na_ratio,tool,mae_cont,mae_cat,mae_joint,acc_cat,mre_cont,dim,bins,discretization
25,5.0,0.01,AutoComplete,14.746122524322407,-1,-1,0.8666666666666667,145231877688512.9,-1,-1,
26,5.0,0.01,MissForest,10.149792248036901,-1,-1,0.8666666666666667,47475512041151.09,-1,-1,
27,5.0,0.01,POME,12.104556230235694,-1,-1,0.88,127635802091730.78,16,7,nonlinear
28,5.0,0.01,POME,11.953510694861308,-1,-1,0.8533333333333334,127635802091730.78,32,7,nonlinear
29,5.0,0.01,POME,12.166998833471716,-1,-1,0.8666666666666667,127635802091730.78,64,7,nonlinear
30,7.0,0.25,KNN,15.529730474224213,-1,-1,0.8596724214254094,106450786621148.2,-1,-1,
31,7.0,0.25,AutoComplete,17.154372687264946,-1,-1,0.8826914563966357,137234661760869.5,-1,-1,
32,7.0,0.25,MissForest,12.288639281577808,-1,-1,0.8685258964143426,39773094941626.64,-1,-1,
33,7.0,0.25,POME,15.390147726886026,-1,-1,0.8685258964143426,104912874662833.34,16,7,nonlinear
34,7.0,0.25,POME,15.320931090529884,-1,-1,0.8756086764054891,104912874662833.4,32,7,nonlinear
35,7.0,0.25,POME,15.326586464945043,-1,-1,0.8813634351482957,104912874662833.36,64,7,nonlinear
36,8.0,0.01,KNN,13.359258611420715,-1,-1,0.8846153846153846,190776811408334.3,-1,-1,
37,8.0,0.01,AutoComplete,15.333260094984192,-1,-1,0.9102564102564102,261770115497792.38,-1,-1,
38,8.0,0.01,MissForest,10.061186102372002,-1,-1,0.8846153846153846,58967263043907.91,-1,-1,
39,8.0,0.01,POME,14.914045321742776,-1,-1,0.8846153846153846,193530267038382.75,16,7,nonlinear
40,8.0,0.01,POME,14.81870193458227,-1,-1,0.8974358974358975,193530267038382.78,32,7,nonlinear
41,8.0,0.01,POME,15.147363930561532,-1,-1,0.9230769230769231,193530267038382.75,64,7,nonlinear
42,8.0,0.05,KNN,14.962718970951965,-1,-1,0.8849557522123894,143168524311095.7,-1,-1,
43,8.0,0.05,AutoComplete,15.369038830694642,-1,-1,0.9092920353982301,141895106035247.72,-1,-1,
44,8.0,0.05,MissForest,12.524751695268295,-1,-1,0.8827433628318584,43730760100473.586,-1,-1,
45,8.0,0.05,POME,15.458659131295144,-1,-1,0.8938053097345132,113591798273898.52,16,7,nonlinear
46,8.0,0.05,POME,15.331239198682672,-1,-1,0.9026548672566371,113591798273898.52,32,7,nonlinear
47,8.0,0.05,POME,15.398401277324572,-1,-1,0.9070796460176991,120156607395613.6,64,7,nonlinear
48,9.0,0.01,KNN,17.71989088034621,-1,-1,0.85,123620119414898.4,-1,-1,
49,9.0,0.01,AutoComplete,18.49195072681085,-1,-1,0.8625,133311089901216.31,-1,-1,
50,9.0,0.01,MissForest,15.129244125960179,-1,-1,0.85,42221754479147.58,-1,-1,
51,9.0,0.01,POME,20.449446214030033,-1,-1,0.85,111393492267608.03,16,7,nonlinear
52,9.0,0.01,POME,20.469877672297056,-1,-1,0.8625,111393492267608.03,32,7,nonlinear
53,9.0,0.01,POME,20.038841866353312,-1,-1,0.85,111393492267608.03,64,7,nonlinear
54,8.0,0.25,KNN,17.173700381256342,-1,-1,0.8674645390070922,151328629486596.25,-1,-1,
55,8.0,0.25,AutoComplete,16.878529576313866,-1,-1,0.8976063829787234,143433957007815.5,-1,-1,
56,8.0,0.25,MissForest,13.397693707254222,-1,-1,0.8763297872340425,44061988132094.7,-1,-1,
57,8.0,0.25,POME,16.92216256990995,-1,-1,0.8617021276595744,105480312762908.62,16,7,nonlinear
58,8.0,0.25,POME,16.89823375970311,-1,-1,0.8953900709219859,107869163604579.47,32,7,nonlinear
59,8.0,0.25,POME,16.855287731772588,-1,-1,0.8971631205673759,105980595304830.8,64,7,nonlinear
60,3.0,0.5,KNN,18.6836993411374,-1,-1,0.8677272727272727,121424506978387.89,-1,-1,
61,3.0,0.5,AutoComplete,38.65739969901975,-1,-1,0.8815909090909091,163699852449018.7,-1,-1,
62,3.0,0.5,MissForest,14.7238126687616,-1,-1,0.8715909090909091,47444994219561.69,-1,-1,
63,3.0,0.5,POME,16.868840278014506,-1,-1,0.8715909090909091,105453626131623.6,16,7,nonlinear
64,3.0,0.5,POME,16.843594229289465,-1,-1,0.8690909090909091,105453626131623.6,32,7,nonlinear
65,3.0,0.5,POME,17.08079255366353,-1,-1,0.8734090909090909,115288702435175.33,64,7,nonlinear
66,5.0,0.25,KNN,16.734937031141406,-1,-1,0.8685295464956482,111605072796274.61,-1,-1,
67,5.0,0.25,AutoComplete,18.166174808148828,-1,-1,0.885936784241869,122788541050474.9,-1,-1,
68,5.0,0.25,MissForest,13.224505900786495,-1,-1,0.8685295464956482,40238672299463.65,-1,-1,
69,5.0,0.25,POME,16.443577362779813,-1,-1,0.8685295464956482,98926755413758.42,16,7,nonlinear
70,5.0,0.25,POME,16.468025270224327,-1,-1,0.880439761795694,98926755413758.42,32,7,nonlinear
71,5.0,0.25,POME,16.314696568578622,-1,-1,0.880439761795694,102050239784298.3,64,7,nonlinear
72,1.0,0.5,KNN,18.055070123723915,-1,-1,0.8548098434004474,111089249806789.22,-1,-1,
73,1.0,0.5,AutoComplete,17.792122237152316,-1,-1,0.8700223713646532,133313394571911.27,-1,-1,
74,1.0,0.5,MissForest,15.34899065151112,-1,-1,0.8595078299776286,45986314907480.94,-1,-1,
75,1.0,0.5,POME,17.21802653387717,-1,-1,0.8595078299776286,98347301544654.2,16,7,nonlinear
76,1.0,0.5,POME,17.46408240759694,-1,-1,0.8646532438478747,98969930849848.6,32,7,nonlinear
77,1.0,0.5,POME,17.392212077353648,-1,-1,0.8675615212527964,105204751490581.02,64,7,nonlinear
78,9.0,0.05,KNN,14.674228408736322,-1,-1,0.8643326039387309,103754507945705.9,-1,-1,
79,9.0,0.05,AutoComplete,15.009673442271755,-1,-1,0.8862144420131292,116539639970478.14,-1,-1,
80,9.0,0.05,MissForest,11.416350442148094,-1,-1,0.8643326039387309,32124969691202.48,-1,-1,
81,9.0,0.05,POME,15.30388351274437,-1,-1,0.8643326039387309,100490659060446.27,16,7,nonlinear
82,9.0,0.05,POME,15.324991307187663,-1,-1,0.8643326039387309,100490659060446.27,32,7,nonlinear
83,9.0,0.05,POME,15.239745696596975,-1,-1,0.8818380743982495,100490659060446.27,64,7,nonlinear
84,1.0,0.25,KNN,17.415016487391835,-1,-1,0.8602388323750553,110491907983505.62,-1,-1,
85,1.0,0.25,AutoComplete,18.653038802341644,-1,-1,0.8779301194161875,137114977918885.77,-1,-1,
86,1.0,0.25,MissForest,12.854875387910662,-1,-1,0.8637770897832817,43991204000050.71,-1,-1,
87,1.0,0.25,POME,16.157658896543104,-1,-1,0.8717381689517912,103741467168632.34,16,7,nonlinear
88,1.0,0.25,POME,16.349716797937887,-1,-1,0.8739495798319328,111821757273748.6,32,7,nonlinear
