	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31
primary_tumor_site	0.02634443	-0.015413541	-0.255493	-0.0051132077	0.23217736	-0.044288814	0.11548564	-0.022524774	0.014675508	0.21444899	-0.06858887	-0.06232723	0.21364468	0.075038716	-0.27915654	0.004704072	0.051678028	-0.22555254	-0.31837955	-0.07032945	0.36372733	0.24444376	0.25441855	0.2850898	-0.012595371	-0.107388236	-0.3694565	0.3626243	-0.11510652	0.2998391	-0.037646733	0.35680068
grading	0.41487366	0.22308992	-0.21920772	0.17318772	-0.16480662	0.21324354	-0.13199551	0.21437167	-0.29783937	-0.262992	0.15932071	-0.3593866	0.19809899	0.052877817	0.073304884	-0.1498755	0.17282526	-0.18984841	-0.033059217	0.23383142	0.101394355	-0.17293052	-0.07542641	0.017489793	0.3476044	0.022886371	0.16643065	0.22699188	0.1511857	0.24828756	-0.10599697	-0.15018234
hpv_association_p16	-0.06552164	0.114306405	0.06287669	0.10967024	-0.15011379	0.008523482	-0.0931996	0.08626025	-0.35283095	0.0007492661	-0.27281526	-0.34360236	0.14612433	-0.4629435	0.2613451	-0.2767328	0.28297353	0.028357366	-0.26136705	0.1698728	0.10100579	-0.14660057	-0.27241126	-0.23355906	0.24265401	-0.36702648	-0.14547952	0.090430595	-0.27152088	0.34600362	0.19657145	0.08276157
resection_status	0.1238249	-0.072006956	-0.5843288	-0.39581364	0.2722866	0.27946422	-0.17701288	-0.037234318	-0.007076338	-0.18524274	-0.35458353	-0.30335504	0.01599514	0.010609152	0.34220168	-0.1976506	0.16305272	-0.514555	-0.10952515	0.20065601	-0.033113156	0.05287956	-0.38752806	-0.030366896	0.16966023	-0.42772374	-0.094614156	-0.038279057	-0.14140087	0.2202718	0.24773733	0.16243702
resection_status_carcinoma_in_situ	0.38442022	0.24719416	0.39542672	-0.02050654	-0.3238071	-0.28772587	-0.2601599	0.2040639	-0.31723052	-0.3863224	-0.08684155	-0.1292895	-0.04157962	-0.3883413	0.05168634	0.21712722	-0.010004668	-0.16123645	-0.11719127	0.2375684	0.3515494	-0.33151835	-0.06065013	-0.15655398	0.15657124	-0.09008581	-0.13568716	-0.07752159	-0.3573545	-0.23330994	-0.06986878	0.09919101
histologic_type	0.23727937	0.023640225	-0.05822041	-0.013859401	-0.17320082	0.32017493	-0.17321141	0.107057825	-0.08507282	0.051444504	0.13365772	-0.3198123	-0.23439352	0.04223977	0.0007217378	-0.013435884	0.055297792	-0.30121264	-0.33347297	0.23619907	0.024436757	-0.14853367	-0.20549406	0.2469705	0.1304621	-0.24971399	0.15228742	-0.19327666	-0.09051481	0.12107208	0.014934237	0.19212888
pT_stage	0.2279079	0.20390323	-0.07892904	0.25252864	0.1163953	0.4801394	0.08802438	0.13766363	-0.23808663	-0.1531205	-0.17454141	0.18708856	-0.061269965	0.2228334	-0.15430975	0.23069909	-0.27107212	0.02034947	-0.36482978	-0.10213834	0.085272126	0.24383628	-0.35628527	-0.69166476	0.16097797	-0.15862517	-0.10530114	0.28991795	-0.29237664	0.0012361627	0.12100182	0.056408253
pN_stage	0.09055775	0.22793347	-0.19727664	-0.26486075	-0.30785623	0.23315649	-0.0873824	-0.20763922	-0.6440274	0.026045538	-0.31418633	-0.14911172	0.3093242	-0.05136914	-0.05902843	-0.13103552	-0.18527229	-0.18655169	-0.10355354	0.04593014	0.12998608	-0.035808742	-0.33311296	0.18356158	-0.17700884	0.1791829	0.032927133	0.21891831	0.046208818	-0.1701883	0.3073402	-0.18658252
sex	0.1513808	0.24756221	0.21931618	0.2184139	-0.15027274	0.3297458	0.30144137	-0.06360309	-0.012076319	0.020298643	-0.28552175	0.1805901	-0.18494448	-0.23939957	0.19690375	0.14184144	0.17989522	-0.33169317	0.1487569	-0.1538403	0.039293043	-0.27762896	0.265876	-0.26709622	0.21168765	-0.24744155	-0.29415283	0.10704276	-0.2273997	0.329231	-0.20042787	0.1480816
primarily_metastasis	0.1572772	-0.19060518	0.1632557	-0.121592134	-0.11964471	-0.16558272	0.15844123	0.12479394	-0.040581502	-0.202337	-0.13839132	-0.22535737	0.033413637	-0.1853928	-0.2350585	-0.013940103	-0.067915805	-0.21277659	-0.29417798	0.0024975664	0.15887213	0.2445375	-0.20721962	0.18554688	0.27881354	-0.09318242	0.24035303	0.23025794	0.20405164	0.22520535	-0.1136117	-0.19696172
smoking_status	0.12948257	-0.15815322	0.25029954	0.13145363	-0.17939153	-0.024638439	0.17370228	0.3591061	-0.33587077	-0.0719312	-0.3659323	-0.27599785	0.24133378	-0.28316522	0.18453388	-0.11291521	-0.009776903	0.058866315	0.03802927	0.025201624	0.46602276	0.103439964	0.00013029003	0.20276329	-0.052643344	-0.09354034	0.21468592	0.061684247	-0.069550514	-0.1059003	0.2752195	-0.2817098
