Method,Target,Type,Score,Precision,Recall,F1
POME,Aplasia,AP,0.37100344021378395,0.6,0.061855670103092786,0.11214953271028037
UMAP,Aplasia,AP,0.5039219554026411,0.6190476190476191,0.26804123711340205,0.37410071942446044
POME,Aplasia,AP,0.4637669708593485,1.0,0.03571428571428571,0.06896551724137931
UMAP,Aplasia,AP,0.5595991062698076,0.6071428571428571,0.30357142857142855,0.40476190476190477
POME,Aplasia,AP,0.5734196571081355,1.0,0.007194244604316547,0.014285714285714285
UMAP,Aplasia,AP,0.6097348621721375,0.7291666666666666,0.2517985611510791,0.37433155080213903
POME,Aplasia,AP,0.3601772842617866,0.6,0.037037037037037035,0.06976744186046512
UMAP,Aplasia,AP,0.4075342375080852,0.52,0.16049382716049382,0.24528301886792453
POME,Aplasia,AP,0.4246631093150601,1.0,0.0125,0.024691358024691357
UMAP,Aplasia,AP,0.41554463797916236,0.5675675675675675,0.2625,0.358974358974359
POME,Aplasia,AP,0.45360116617210755,1.0,0.011111111111111112,0.02197802197802198
UMAP,Aplasia,AP,0.48904415624931113,0.6470588235294118,0.24444444444444444,0.3548387096774194
POME,Aplasia,AP,0.47008423110630626,0.0,0.0,0.0
UMAP,Aplasia,AP,0.5433514414142755,0.6585365853658537,0.3,0.4122137404580153
Naive,Aplasia,AP,0.21205962059620595,-1.0,-1.0,-1.0
POME,Neutropenic Fever,AP,0.038388971536981835,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.05771631363843326,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.16764394064996466,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.10820691627495854,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.09891290232407066,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.16138311285146367,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.13932703575143288,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.1546406594527046,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.22495024825671342,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.22271058531990012,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.13429657648748317,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.14723296983844136,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.17289239794397596,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.19265014849423978,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.1518906173654568,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.14008316254795106,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.11095671310270412,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.08862087929459506,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.12234292979976223,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.10625370413629746,0.0,0.0,0.0
Naive,Neutropenic Fever,AP,0.0512646793134598,-1.0,-1.0,-1.0
POME,Aplasia,AP,0.2821160493418295,0.09090909090909091,0.011235955056179775,0.02
UMAP,Aplasia,AP,0.34220997660615143,0.36585365853658536,0.16853932584269662,0.23076923076923078
POME,Aplasia,AP,0.3644744806220534,0.2,0.014084507042253521,0.02631578947368421
UMAP,Aplasia,AP,0.3682841078772774,0.6,0.16901408450704225,0.26373626373626374
POME,Aplasia,AP,0.3639626072237803,0.5714285714285714,0.044444444444444446,0.08247422680412371
UMAP,Aplasia,AP,0.40375493728665696,0.5,0.24444444444444444,0.3283582089552239
POME,Aplasia,AP,0.3326607133690354,0.5,0.05154639175257732,0.09345794392523364
UMAP,Aplasia,AP,0.49293381117053825,0.625,0.25773195876288657,0.36496350364963503
POME,Aplasia,AP,0.4061610595512662,0.6666666666666666,0.017857142857142856,0.034782608695652174
UMAP,Aplasia,AP,0.5560042977678822,0.631578947368421,0.32142857142857145,0.4260355029585799
POME,Aplasia,AP,0.4856828412361308,0.25,0.007194244604316547,0.013986013986013986
UMAP,Aplasia,AP,0.6152679490541464,0.717391304347826,0.23741007194244604,0.3567567567567568
POME,Aplasia,AP,0.40256882581452297,0.5,0.037037037037037035,0.06896551724137931
UMAP,Aplasia,AP,0.404944910931248,0.5416666666666666,0.16049382716049382,0.24761904761904763
POME,Aplasia,AP,0.3868274832099516,1.0,0.0125,0.024691358024691357
UMAP,Aplasia,AP,0.4160458201296472,0.5555555555555556,0.25,0.3448275862068966
POME,Aplasia,AP,0.4445002937964637,0.3333333333333333,0.011111111111111112,0.021505376344086023
UMAP,Aplasia,AP,0.4840463348861797,0.6571428571428571,0.25555555555555554,0.368
POME,Aplasia,AP,0.4600077982972307,0.8,0.044444444444444446,0.08421052631578947
UMAP,Aplasia,AP,0.5486408148408336,0.7,0.3111111111111111,0.4307692307692308
Naive,Aplasia,AP,0.21205962059620595,-1.0,-1.0,-1.0
POME,Neutropenic Fever,AP,0.04697050160152308,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.05054089309597344,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.08891668288067506,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.10622168239922314,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.08313289204664748,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.15239075596213456,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.0640126549237349,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.17595065479547894,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.14580355819635005,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.23761450452854754,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.13414532647854505,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.1442857200419704,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.13911642983795955,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.16328517463695688,0.0,0.0,0.0
